date,ROH_0
2015-07-01,103.0
2015-07-02,36.0
2015-07-03,37.0
2015-07-04,45.0
2015-07-05,37.0
2015-07-06,41.0
2015-07-07,29.0
2015-07-08,45.0
2015-07-09,29.0
2015-07-10,42.0
2015-07-11,61.0
2015-07-12,37.0
2015-07-13,39.0
2015-07-14,24.0
2015-07-15,54.0
2015-07-16,41.0
2015-07-17,106.0
2015-07-18,77.0
2015-07-19,36.0
2015-07-20,53.0
2015-07-21,27.0
2015-07-22,43.0
2015-07-23,66.0
2015-07-24,49.0
2015-07-25,101.0
2015-07-26,32.0
2015-07-27,73.0
2015-07-28,28.0
2015-07-29,34.0
2015-07-30,41.0
2015-07-31,51.0
2015-08-01,60.0
2015-08-02,43.0
2015-08-03,73.0
2015-08-04,39.0
2015-08-05,90.0
2015-08-06,48.0
2015-08-07,77.0
2015-08-08,106.0
2015-08-09,71.0
2015-08-10,128.0
2015-08-11,89.0
2015-08-12,83.0
2015-08-13,53.0
2015-08-14,119.0
2015-08-15,101.0
2015-08-16,74.0
2015-08-17,108.0
2015-08-18,68.0
2015-08-19,58.0
2015-08-20,60.0
2015-08-21,62.0
2015-08-22,80.0
2015-08-23,62.0
2015-08-24,84.0
2015-08-25,67.0
2015-08-26,73.0
2015-08-27,39.0
2015-08-28,59.0
2015-08-29,89.0
2015-08-30,49.0
2015-08-31,79.0
2015-09-01,82.0
2015-09-02,73.0
2015-09-03,89.0
2015-09-04,150.0
2015-09-05,95.0
2015-09-06,127.0
2015-09-07,92.0
2015-09-08,70.0
2015-09-09,137.0
2015-09-10,64.0
2015-09-11,133.0
2015-09-12,102.0
2015-09-13,51.0
2015-09-14,113.0
2015-09-15,80.0
2015-09-16,119.0
2015-09-17,137.0
2015-09-18,137.0
2015-09-19,119.0
2015-09-20,87.0
2015-09-21,147.0
2015-09-22,87.0
2015-09-23,114.0
2015-09-24,96.0
2015-09-25,152.0
2015-09-26,84.0
2015-09-27,51.0
2015-09-28,64.0
2015-09-29,64.0
2015-09-30,104.0
2015-10-01,87.0
2015-10-02,183.0
2015-10-03,60.0
2015-10-04,115.0
2015-10-05,108.0
2015-10-06,110.0
2015-10-07,132.0
2015-10-08,84.0
2015-10-09,132.0
2015-10-10,131.0
2015-10-11,68.0
2015-10-12,161.0
2015-10-13,90.0
2015-10-14,69.0
2015-10-15,188.0
2015-10-16,134.0
2015-10-17,62.0
2015-10-18,98.0
2015-10-19,170.0
2015-10-20,94.0
2015-10-21,103.0
2015-10-22,76.0
2015-10-23,86.0
2015-10-24,61.0
2015-10-25,135.0
2015-10-26,61.0
2015-10-27,52.0
2015-10-28,133.0
2015-10-29,76.0
2015-10-30,68.0
2015-10-31,98.0
2015-11-01,49.0
2015-11-02,55.0
2015-11-03,65.0
2015-11-04,45.0
2015-11-05,55.0
2015-11-06,84.0
2015-11-07,80.0
2015-11-08,45.0
2015-11-09,45.0
2015-11-10,39.0
2015-11-11,51.0
2015-11-12,45.0
2015-11-13,28.0
2015-11-14,33.0
2015-11-15,24.0
2015-11-16,63.0
2015-11-17,74.0
2015-11-18,161.0
2015-11-19,44.0
2015-11-20,133.0
2015-11-21,81.0
2015-11-22,36.0
2015-11-23,140.0
